id,track_name,n_citacoes,size_bytes,price,prime_genre
284035177,Pandora - Music & Radio,1126879,1126879,0.0,Music
324684580,Spotify Music,878563,878563,0.0,Music
284993459,"Shazam - Discover music, artists, videos & lyrics",402925,402925,0.0,Music
290638154,iHeartRadio – Free Music & Radio Stations,293228,293228,0.0,Music
302584613,"Kindle – Read eBooks, Magazines & Textbooks",252076,252076,0.0,Book
336353151,SoundCloud - Music & Audio,135744,135744,0.0,Music
421254504,Magic Piano by Smule,131695,131695,0.0,Music
509993510,Smule Sing!,119316,119316,0.0,Music
418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,110420,110420,0.0,Music
510855668,Amazon Music,106235,106235,0.0,Music
